"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","From Pass","To Pass","From Start Lat (deg)","From Start Lon (deg)","From Start Alt (km)","From Stop Lat (deg)","From Stop Lon (deg)","From Stop Alt (km)","To Start Lat (deg)","To Start Lon (deg)","To Start Alt (km)","To Stop Lat (deg)","To Stop Lon (deg)","To Stop Alt (km)","From Pass End","To Pass End","To Object","From Object","To Parent","From Parent"
26 Jan 2024 10:48:38.136,26 Jan 2024 11:00:47.063,728.926,"87","N/A",62.049,-107.395,566.657831,16.336,-110.441,551.679644,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"87","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
26 Jan 2024 12:26:57.897,26 Jan 2024 12:31:43.386,285.489,"88","N/A",52.498,-132.045,563.419672,34.608,-133.238,556.861622,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"88","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
26 Jan 2024 21:33:03.544,26 Jan 2024 21:43:45.784,642.240,"94","N/A",20.311,-88.942,552.558974,60.579,-91.626,566.193917,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"94","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
26 Jan 2024 23:07:55.695,26 Jan 2024 23:19:41.006,705.311,"95","N/A",16.865,-112.724,551.787055,61.099,-115.671,566.359757,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"95","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
27 Jan 2024 09:10:44.963,27 Jan 2024 09:20:10.738,565.775,"101","N/A",57.658,-83.842,565.230222,22.180,-86.206,553.027296,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"101","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
27 Jan 2024 10:45:21.660,27 Jan 2024 10:57:29.972,728.313,"102","N/A",62.042,-107.560,566.655616,16.368,-110.603,551.685943,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"102","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
27 Jan 2024 12:23:45.186,27 Jan 2024 12:28:21.363,276.178,"103","N/A",52.255,-132.225,563.331926,34.949,-133.379,556.980563,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"103","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
27 Jan 2024 21:29:45.435,27 Jan 2024 21:40:29.857,644.422,"109","N/A",20.216,-89.100,552.535931,60.621,-91.793,566.207194,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"109","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
27 Jan 2024 23:04:39.838,27 Jan 2024 23:16:23.905,704.067,"110","N/A",16.911,-112.892,551.796570,61.068,-115.834,566.349645,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"110","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
28 Jan 2024 09:07:27.014,28 Jan 2024 09:16:56.228,569.214,"116","N/A",57.743,-84.001,565.258927,22.049,-86.379,552.993397,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"116","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
28 Jan 2024 10:42:05.187,28 Jan 2024 10:54:12.864,727.677,"117","N/A",62.035,-107.725,566.653337,16.400,-110.765,551.692487,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"117","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
28 Jan 2024 12:20:32.654,28 Jan 2024 12:24:59.147,266.493,"118","N/A",52.001,-132.406,563.239909,35.302,-133.520,557.104293,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"118","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
28 Jan 2024 21:26:27.345,28 Jan 2024 21:37:13.916,646.572,"124","N/A",20.121,-89.258,552.513267,60.661,-91.960,566.220195,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"124","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
28 Jan 2024 23:01:23.997,28 Jan 2024 23:13:06.795,702.798,"125","N/A",16.959,-113.059,551.806327,61.035,-115.996,566.339345,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"125","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
29 Jan 2024 09:04:09.083,29 Jan 2024 09:13:41.687,572.604,"131","N/A",57.827,-84.159,565.287205,21.920,-86.552,552.960168,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"131","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
29 Jan 2024 10:38:48.725,29 Jan 2024 10:50:55.745,727.020,"132","N/A",62.027,-107.889,566.650840,16.434,-110.927,551.699176,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"132","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
29 Jan 2024 12:17:20.333,29 Jan 2024 12:21:36.715,256.382,"133","N/A",51.734,-132.589,563.142901,35.669,-133.660,557.233322,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"133","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
29 Jan 2024 21:23:09.273,29 Jan 2024 21:33:57.966,648.693,"139","N/A",20.028,-89.416,552.490976,60.701,-92.127,566.232991,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"139","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
29 Jan 2024 22:58:08.173,29 Jan 2024 23:09:49.675,701.503,"140","N/A",17.007,-113.227,551.816327,61.002,-116.158,566.328855,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"140","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
30 Jan 2024 09:00:51.173,30 Jan 2024 09:10:27.114,575.942,"146","N/A",57.909,-84.318,565.315024,21.793,-86.725,552.927604,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"146","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
